Attrition,Age,Avg. Satisfaction Score,Environment Satisfaction,Job Involvement,Job Satisfaction,Monthly Income,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Work Life Balance,last_evaluation,number_project,average_montly_hours,Work_accident,promotion_last_5years,Gender_Male,Education_Bachelor's Degree,Education_Doctoral Degree,Education_High School,Education_Master's Degree,Education Field_Life Sciences,Education Field_Marketing,Education Field_Medical,Education Field_Other,Education Field_Technical Degree,Job Role_Human Resources,Job Role_Laboratory Technician,Job Role_Manager,Job Role_Manufacturing Director,Job Role_Research Director,Job Role_Research Scientist,Job Role_Sales Executive,Job Role_Sales Representative,Department_R & D,Department_Sales,Work Location_Delhi,Work Location_Hydrabad,Work Location_Mumbai,Work Location_Noida,Work Location_Pune
1,0.4463504035345031,2.2,2,3,4,-0.10834951351067117,-1.1505541015749308,3,1,1,-1.1034857330519063,-1.5565406489861766,-0.8247753768200671,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0,1.3223652142096962,2.8,3,2,2,-0.29171858995657424,2.1293060069870897,4,4,3,0.14792327393947372,0.16384638410380828,0.360545538591033,0,0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
1,0.008342998196906572,2.8,4,2,3,-0.9376536912260358,-0.057267398720923963,3,2,3,0.8630141350774053,1.0240399006488008,1.3210642114241657,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
0,-0.42966440714069,3.2,4,3,3,-0.7636336754564013,-1.1505541015749308,3,3,3,-0.26921306172431947,-1.5565406489861766,0.09487016099888987,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
0,-1.0866755151470848,2.6,1,3,2,-0.6448581091374443,-0.8772324258614291,3,4,3,-0.15003125153466473,1.0240399006488008,-0.08905894656490153,0,0,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
0,-0.5391662584750891,3.2,4,3,4,-0.7298495698307945,-0.6039107501479274,3,3,2,0.6246505146980945,1.0240399006488008,1.0145156988178468,0,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
0,2.4173837275536876,2.2,3,4,1,-0.814416073220678,1.3093409798465847,4,1,2,-0.6863493973881133,-0.6963471324411842,0.34010897108394506,0,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0,-0.7581699611438873,3.0,4,3,3,-0.8095290642308104,1.855984331273588,4,2,3,1.399332280930854,-0.6963471324411842,0.17661643102724162,0,0,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
0,0.11784484953130571,2.8,4,2,3,0.6423375630633446,1.5826626555600865,4,2,3,-2.0569402145691487,-1.5565406489861766,-0.43648059418539636,0,0,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
0,-0.10115885313749257,2.6,3,3,3,-0.2689833742211031,-0.6039107501479274,3,2,2,1.1609686605515437,1.0240399006488008,-1.2539432944689137,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
